x,10
39.664,0.3195
77.514,0.9835
127.704,2.5609
202.941,3.4402
223.858,3.8611
242.756,4.3153
259.755,4.6623
295.991,5.0253
312.123,5.2825
329.868,5.6242
351.125,5.95
371.065,6.29
402.112,6.7761
445.501,7.3944
481.161,8.4648
x,70
47.665,2.9587
105.008,4.6188
149.925,6.0803
225.1,7.344
248.423,7.8276
267.534,8.2944
285.187,8.6522
321.129,9.2617
337.407,9.2424
356.436,9.8545
395.849,9.9389
427.314,10.931
470.748,11.2334
505.141,11.7647
x,98
34.283,1.8183
81.505,3.4575
121.267,4.6229
161.709,5.4665
222.959,6.9385
250.386,7.8187
267.786,8.7375
286.401,9.4381
322.247,10.7935
338.612,11.378
x,100
34.084,2.3007
75.974,3.3008
119.248,4.4558
161.532,5.2448
223.649,6.7537
241.627,7.3963
259.257,8.3291
277.813,8.6092
